鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
3901,5,1465,240,0,7,75,0,79,0,43,0,824,100,0,0,12,25,6,25,5,7,0,13,3,1,0,0,30,44,435,164,雲林縣斗六市
3902,1,65,7,0,0,4,0,3,0,2,0,34,2,0,0,1,6,2,3,0,0,0,1,0,0,0,0,0,2,18,0,雲林縣斗南鎮
3903,1,468,52,2,4,20,0,23,0,11,0,277,40,0,0,4,8,3,10,0,2,0,6,5,1,0,0,5,36,193,8,雲林縣虎尾鎮
3904,2,324,51,0,1,17,0,11,0,11,0,169,33,0,0,4,11,2,5,1,0,0,5,2,1,0,0,2,20,96,53,雲林縣西螺鎮
3905,1,26,4,0,0,3,0,1,0,2,0,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,2,雲林縣土庫鎮
3906,4,496,67,10,2,29,0,21,1,19,0,248,64,0,0,4,11,4,6,1,0,0,7,1,1,0,0,3,34,161,31,雲林縣北港鎮
3913,1,156,20,1,1,11,0,8,0,6,0,89,12,0,0,1,2,0,1,0,0,0,4,0,0,0,0,2,14,43,9,雲林縣麥寮鄉
4001,2,1750,289,13,8,81,0,52,0,42,0,1135,35,0,0,13,13,5,10,0,4,0,44,4,2,0,0,14,204,386,92,嘉義縣朴子市
4003,1,1189,168,12,6,50,0,68,0,41,0,738,46,0,0,11,12,1,9,0,4,0,16,4,3,0,0,12,171,312,7,嘉義縣大林鎮
4014,1,172,25,0,1,12,0,5,0,4,0,80,18,0,0,3,10,0,7,1,3,0,3,0,0,0,0,6,7,23,50,嘉義縣竹崎鄉
4301,11,2468,295,3,6,119,0,120,0,74,0,1453,259,0,0,20,35,17,21,1,4,1,31,7,2,0,0,33,161,782,338,屏東縣屏東市
4302,3,178,24,2,0,14,0,8,0,9,0,72,31,0,0,2,10,5,1,0,0,0,0,0,0,0,0,0,2,69,4,屏東縣潮州鎮
4303,2,1014,154,0,10,44,1,50,0,30,1,587,87,0,1,9,15,4,7,1,1,1,8,3,0,0,0,12,151,197,206,屏東縣東港鎮
4304,3,186,44,0,2,10,0,9,0,7,2,82,18,0,0,2,5,4,0,0,0,0,1,0,0,0,0,8,11,80,21,屏東縣恆春鎮
4307,1,95,7,0,0,4,0,1,0,0,0,49,22,0,0,1,0,0,4,3,4,0,0,0,0,0,0,5,7,14,39,屏東縣麟洛鄉
4311,2,32,5,0,0,4,0,2,0,3,0,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,5,屏東縣高樹鄉
4313,2,265,41,0,1,13,0,11,0,7,0,142,25,0,0,3,4,4,6,3,2,0,3,0,0,0,0,9,10,78,59,屏東縣內埔鄉
4315,2,112,11,0,0,5,1,2,0,2,0,46,33,0,0,2,1,1,3,0,3,1,1,0,0,0,0,5,9,21,21,屏東縣新埤鄉
