name,KO3-M56,KO2-M75,KO1-M74,WT3-M53,WT2-M76,WT1-M73
Label,a_GeneKO,a_GeneKO,a_GeneKO,b_Control,b_Control,b_Control
N-Acetylaspartylglutamic acid,2983.170938,1936.351773,2058.041857,1845.492732,2023.222121,1645.941672
Phenylalanine,843961.1877,749869.8046,780192.7211,817796.9905,681601.2911,713526.794
Phenylethanolamine,4358.456451,3715.586154,2399.10114,3463.786177,4008.655493,2268.395351
Pyridoxal phosphate,4652.367688,4496.066063,4943.707909,3347.712756,3246.925569,3274.625513
Pyrrolidonecarboxylic acid,2229.652113,2881.743404,2146.03943,2717.386822,1633.991068,2606.116739
Pyruvic acid,2889.50564,2393.58719,2642.298201,2456.262412,5509.534383,1908.20587
Quinone,5889.301992,15042.3486,9598.477421,0,0,904.1294042
Ribonolactone,590.6832492,911.2489604,1671.026364,2087.095232,1177.759558,1782.434807
Spermine,21912.84375,15788.79394,32976.66974,7931.880158,13829.66407,24775.06843
Succinate | Methylmalonate,694.1524872,647.1370172,987.1159994,1041.157669,2978.83367,2077.338009
Taurine,320752.2744,330720.0029,286406.8065,304171.1564,343301.1775,272093.4017
Thymidine,1757.073094,2501.153387,1650.081653,2693.502632,1479.11787,1589.997554
Tyrosine,215864.5295,148660.1694,168854.1107,192197.1316,129718.2212,168590.4304
Uracil,5772.829966,5424.025728,5163.805462,4163.703084,4232.539117,6439.354701
Uridine,2484.267463,2439.461777,3009.355429,1373.540895,1493.420435,1844.070066
Uridine 5'-monophosphate,33514.47161,35320.47094,28231.82023,21482.72341,23386.05478,22641.83833
Urocanic acid,3853.097527,2510.76235,3269.998084,2031.614786,3220.803676,3024.499538
