鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,驗光師,驗光生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
1201,3,1937,268,0,21,81,0,87,0,74,0,1249,55,2,3,15,23,1,15,0,7,0,22,7,5,0,0,0,2,12,93,417,197,新竹市東區
1204,5,1845,296,3,25,76,3,78,2,52,1,1148,60,0,0,19,19,7,15,1,11,0,15,8,2,0,0,1,3,15,65,236,242,新竹市北區
2201,4,3257,506,19,38,143,1,129,2,109,0,1985,101,0,3,25,62,11,36,1,16,1,48,10,4,2,0,3,2,77,518,762,446,嘉義市東區
2202,8,1176,131,5,3,57,0,49,0,46,1,672,72,0,0,16,43,11,36,1,7,0,21,4,1,0,0,0,0,26,41,288,124,嘉義市西區
3101,7,3393,686,2,40,134,2,107,0,105,1,1990,97,1,1,27,60,7,38,0,15,1,46,20,9,1,0,2,1,41,184,436,238,新北市板橋區
3102,4,847,103,4,2,48,1,35,1,33,2,475,44,1,0,8,36,1,23,1,6,1,11,10,1,0,0,0,0,9,33,257,108,新北市三重區
3103,2,560,92,0,7,25,3,31,0,27,0,278,33,0,1,6,23,1,12,1,7,0,5,6,2,0,0,0,0,17,33,248,20,新北市永和區
3104,5,2675,605,0,86,112,0,81,2,90,0,1460,73,1,0,22,39,2,29,0,13,0,42,11,4,3,0,0,0,14,94,500,338,新北市中和區
3105,7,3539,649,29,50,160,0,150,1,144,0,2023,108,2,0,30,52,3,38,0,21,1,51,15,7,0,2,2,1,36,232,646,499,新北市新店區
3106,8,1411,186,9,4,70,2,53,0,45,1,833,67,0,0,15,41,2,39,2,8,1,17,14,2,0,0,0,0,20,77,307,325,新北市新莊區
3107,1,159,20,0,0,7,0,7,0,9,0,81,19,0,0,2,6,0,2,0,0,0,6,0,0,0,0,0,0,1,4,32,52,新北市樹林區
3108,1,10,2,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,6,新北市鶯歌區
3109,3,1023,126,15,18,53,1,38,1,29,0,640,34,1,0,9,14,0,14,0,6,0,17,4,2,0,0,0,1,18,72,262,55,新北市三峽區
3110,4,1830,306,0,14,61,0,94,0,54,0,1160,31,0,0,16,15,1,15,2,11,5,38,4,3,0,0,0,0,30,135,291,294,新北市淡水區
3111,1,898,79,0,16,39,0,27,0,38,0,622,17,0,0,6,16,3,12,0,4,0,12,4,2,0,0,0,1,6,13,221,32,新北市汐止區
3112,1,34,4,0,0,3,0,4,0,3,0,10,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,新北市瑞芳區
3113,4,268,27,0,0,13,0,13,0,8,0,119,44,0,0,4,12,2,13,0,0,0,9,4,0,0,0,0,0,1,13,62,57,新北市土城區
3114,1,31,6,0,0,3,0,1,0,1,0,14,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,6,新北市蘆洲區
3116,1,963,154,0,7,30,0,40,0,35,0,640,8,0,0,7,14,0,6,0,4,0,14,2,2,0,0,0,0,6,50,258,46,新北市泰山區
3121,1,17,2,0,0,1,0,0,0,0,0,8,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,6,1,新北市三芝區
3123,1,202,15,0,0,11,0,3,0,1,0,134,6,0,0,2,0,0,17,0,13,0,0,0,0,0,0,0,0,15,5,35,48,新北市八里區
3127,1,110,20,0,1,6,0,5,1,5,0,58,1,0,0,1,7,1,2,0,1,0,0,1,0,0,0,0,0,1,6,42,7,新北市金山區
3201,8,4046,516,12,12,176,0,176,2,132,2,2544,184,1,1,32,73,9,82,1,31,1,36,17,6,0,0,0,0,54,200,895,262,桃園市桃園區
3202,11,1279,157,0,6,60,0,62,2,63,0,611,159,0,0,11,65,15,37,1,5,0,12,11,1,0,0,0,1,8,78,417,178,桃園市中壢區
3204,2,668,87,0,5,29,0,32,0,30,0,388,48,0,0,7,18,5,9,0,1,1,5,1,2,0,0,0,0,4,23,258,54,桃園市楊梅區
3206,2,124,18,0,0,8,0,2,0,3,0,56,17,0,0,1,3,1,9,0,5,0,0,0,0,0,0,1,0,5,9,27,33,桃園市大園區
3207,3,7626,1718,50,116,303,1,261,6,183,1,4487,165,0,1,47,43,6,30,3,17,0,147,16,11,8,6,0,0,42,209,1541,83,桃園市龜山區
3209,2,887,142,0,12,40,0,29,3,24,0,548,37,1,0,6,9,3,13,0,4,2,9,3,2,0,0,0,0,14,21,262,15,桃園市龍潭區
3210,5,1410,213,6,6,60,1,38,4,46,1,848,109,0,0,12,25,3,13,0,6,0,15,3,1,0,0,0,0,8,117,485,39,桃園市平鎮區
3211,1,233,29,2,1,9,0,8,0,6,0,143,11,0,0,1,12,0,7,0,0,0,2,2,0,0,0,0,0,2,0,41,8,桃園市新屋區
3301,1,60,6,0,0,4,0,0,1,0,0,32,9,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,4,4,23,0,新竹縣關西鎮
3303,4,700,79,1,3,35,0,29,2,28,1,409,50,0,0,7,13,3,22,0,9,0,4,4,1,0,0,0,0,13,30,221,70,新竹縣竹東鎮
3305,5,1291,175,5,2,60,0,57,1,54,0,746,96,1,1,15,27,4,13,1,6,0,15,7,3,0,0,0,2,11,76,476,100,新竹縣竹北市
3306,1,250,29,0,1,13,0,11,1,7,0,145,19,0,0,2,5,1,8,1,4,0,2,1,0,0,0,0,0,6,25,132,10,新竹縣湖口鄉
3401,2,1036,126,3,14,48,0,43,0,38,0,690,15,0,0,9,20,0,8,0,5,0,10,5,1,1,0,0,0,6,62,281,20,宜蘭縣宜蘭市
3402,2,2014,254,0,19,76,0,64,1,63,2,1252,134,1,0,20,36,9,28,2,9,0,28,12,4,0,0,0,0,21,205,474,96,宜蘭縣羅東鎮
3403,1,185,19,0,0,9,0,6,0,5,0,119,7,0,0,3,5,1,4,2,2,0,2,1,0,0,0,0,0,6,8,40,22,宜蘭縣蘇澳鎮
3405,1,56,7,0,0,5,0,4,0,4,0,25,3,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,23,7,宜蘭縣礁溪鄉
3406,1,40,4,0,0,3,0,0,0,0,0,22,3,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,2,1,4,5,宜蘭縣壯圍鄉
3407,2,338,42,1,1,19,0,12,0,9,0,187,21,0,0,3,14,5,13,1,8,0,1,1,0,0,0,0,0,11,12,62,78,宜蘭縣員山鄉
3501,7,1326,161,2,6,66,0,47,3,52,1,742,105,0,0,17,41,13,30,0,13,0,12,14,1,0,0,0,0,19,78,575,226,苗栗縣苗栗市
3502,1,191,18,0,0,13,0,9,0,7,0,111,19,0,0,4,4,1,4,0,0,0,1,0,0,0,0,0,0,1,21,42,14,苗栗縣苑裡鎮
3503,1,60,6,0,0,5,0,5,0,10,0,21,8,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,11,4,苗栗縣通霄鎮
3504,2,77,11,0,0,7,0,5,0,6,0,30,12,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,4,34,2,苗栗縣竹南鎮
3505,3,851,95,2,6,30,5,36,2,27,1,499,81,0,0,7,15,2,19,2,10,0,7,3,1,0,0,0,1,18,108,203,129,苗栗縣頭份市
3508,1,40,5,0,0,3,0,1,0,1,0,9,10,0,0,1,3,0,5,1,0,0,1,0,0,0,0,0,0,1,4,16,3,苗栗縣大湖鄉
3701,9,5115,921,37,83,197,1,224,1,129,0,3145,93,8,2,52,41,6,26,3,20,8,77,17,7,11,0,5,1,36,398,1657,261,彰化縣彰化市
3702,2,1320,146,8,22,65,0,53,0,46,0,814,36,0,4,24,26,0,30,3,18,2,9,6,4,2,0,2,0,20,122,446,77,彰化縣鹿港鎮
3703,1,74,10,0,2,4,0,3,0,3,0,34,8,0,0,1,3,1,3,0,0,0,2,0,0,0,0,0,0,2,5,19,12,彰化縣和美鎮
3704,2,58,8,0,0,4,1,5,0,2,0,24,8,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,24,5,彰化縣北斗鎮
3705,8,1611,160,3,13,93,0,73,0,58,0,983,71,1,1,18,47,10,38,3,5,1,17,10,1,1,0,2,2,15,93,535,89,彰化縣員林市
3706,1,37,3,0,0,4,0,3,1,3,0,16,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,彰化縣溪湖鎮
3707,2,48,6,0,0,4,0,3,0,3,0,13,10,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,9,25,彰化縣田中鎮
3708,3,389,45,1,1,24,0,16,0,11,2,237,19,0,0,6,12,0,7,1,1,0,3,1,1,0,0,0,1,6,12,147,68,彰化縣二林鎮
3710,1,21,3,0,0,2,0,1,0,1,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,彰化縣伸港鄉
3715,1,47,4,0,0,2,0,1,0,2,0,8,4,0,0,1,11,1,9,1,0,0,0,3,0,0,0,0,0,1,10,21,3,彰化縣大村鄉
3717,1,641,65,3,1,28,0,28,0,20,0,419,23,0,0,6,13,1,17,1,6,0,4,5,1,0,0,0,0,10,18,164,292,彰化縣埔心鄉
3801,2,698,82,5,1,36,0,31,0,29,0,423,43,0,0,7,11,8,9,0,1,1,7,2,1,0,0,1,0,6,13,150,162,南投縣南投市
3802,2,764,106,5,4,37,0,34,0,33,0,437,46,0,0,8,15,3,13,2,7,0,5,6,0,1,0,2,0,20,89,223,117,南投縣埔里鎮
3803,4,856,89,4,16,41,0,31,0,28,0,500,53,0,0,6,13,4,40,1,20,1,4,1,1,1,0,0,2,25,97,211,116,南投縣草屯鎮
3804,2,376,46,1,5,19,0,22,0,15,0,206,20,0,0,4,10,8,11,0,2,0,2,2,1,0,0,0,2,6,92,123,63,南投縣竹山鎮
3901,6,1964,289,3,9,94,0,93,0,59,0,1227,71,0,2,16,27,6,27,4,12,0,16,3,4,0,0,1,1,23,209,436,186,雲林縣斗六市
3902,1,77,11,0,0,5,0,3,0,2,0,33,9,0,0,1,7,2,3,0,0,0,1,0,0,0,0,0,0,0,3,24,10,雲林縣斗南鎮
3903,1,466,46,3,2,19,0,23,0,13,0,286,31,1,0,7,10,3,9,0,3,0,7,2,1,0,0,0,0,8,27,212,13,雲林縣虎尾鎮
3904,2,395,50,2,2,21,0,14,0,16,0,230,24,0,0,6,11,2,5,1,1,0,5,2,1,0,0,2,0,2,16,94,50,雲林縣西螺鎮
3905,1,27,3,0,0,4,0,1,0,2,0,9,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4,1,雲林縣土庫鎮
3906,4,648,68,12,2,29,0,26,1,24,0,390,48,0,1,6,16,2,8,1,2,0,9,1,1,0,0,1,0,8,35,141,39,雲林縣北港鎮
3913,1,208,23,1,1,12,0,9,0,7,0,139,5,0,0,1,3,0,1,0,0,0,5,0,1,0,0,0,0,2,19,53,14,雲林縣麥寮鄉
4001,2,2023,370,17,12,88,0,61,0,48,0,1298,24,1,0,17,13,5,14,0,6,1,43,3,2,0,0,0,0,20,245,407,67,嘉義縣朴子市
4003,1,1440,217,24,9,58,0,67,0,47,0,916,30,1,0,13,14,1,10,0,8,0,19,2,3,0,0,1,0,18,106,316,146,嘉義縣大林鎮
4014,1,185,16,1,1,8,0,6,0,5,0,92,12,0,0,5,15,0,17,1,3,0,3,0,0,0,0,0,0,7,3,29,28,嘉義縣竹崎鄉
4301,9,2645,320,5,9,111,1,130,0,85,0,1649,176,3,0,26,42,10,30,1,8,0,27,8,4,0,0,0,0,45,146,599,341,屏東縣屏東市
4302,2,217,27,0,0,14,0,9,0,10,0,119,12,0,0,2,16,4,3,0,0,0,1,0,0,0,0,0,0,1,3,81,9,屏東縣潮州鎮
4303,2,1168,173,0,6,51,0,58,0,34,0,725,62,2,0,12,13,5,7,1,3,1,10,3,2,0,0,0,0,18,124,234,123,屏東縣東港鎮
4304,3,271,49,0,3,18,0,12,0,12,0,128,17,1,0,4,17,2,3,0,1,0,3,1,0,0,0,0,0,35,11,117,92,屏東縣恆春鎮
4306,1,97,8,0,0,5,0,1,0,0,0,55,15,0,0,1,0,0,5,2,5,0,0,0,0,0,0,0,0,5,7,17,33,屏東縣長治鄉
4311,1,30,5,0,0,3,0,2,0,3,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,19,2,屏東縣高樹鄉
4313,2,354,39,0,1,21,0,12,0,8,0,206,36,0,0,3,3,4,6,4,5,0,4,1,0,1,0,0,0,9,23,97,40,屏東縣內埔鄉
4315,1,72,8,0,0,5,0,0,0,0,0,36,14,0,0,2,0,0,3,1,3,0,0,0,0,0,0,0,0,3,2,7,16,屏東縣新埤鄉
4316,1,235,38,0,0,10,0,13,0,10,0,117,35,0,0,2,5,1,2,0,0,0,2,0,0,0,0,0,0,3,9,62,38,屏東縣枋寮鄉
4401,3,431,68,0,1,22,1,21,0,20,1,227,31,0,0,4,13,5,10,0,3,0,2,1,1,0,0,0,0,11,13,125,60,澎湖縣馬公市
4501,3,2801,514,34,30,113,0,115,0,89,0,1646,66,2,0,20,47,5,34,1,23,1,40,14,5,0,0,2,0,35,560,634,276,花蓮縣花蓮市
4502,1,95,15,0,0,7,0,4,0,4,0,53,3,0,0,1,3,0,3,0,1,0,1,0,0,0,0,0,0,3,1,29,13,花蓮縣鳳林鎮
4503,3,705,90,5,3,37,0,20,0,16,0,413,38,0,0,8,9,1,37,3,22,0,3,0,0,0,0,0,0,29,50,248,301,花蓮縣玉里鎮
4504,1,301,39,0,4,18,1,15,0,13,0,173,10,0,0,3,6,4,8,0,4,0,3,0,0,0,0,0,0,9,26,124,54,花蓮縣新城鄉
4506,1,102,7,0,0,4,0,1,0,1,0,62,6,0,0,3,4,0,8,0,5,1,0,0,0,0,0,0,0,6,23,16,40,花蓮縣壽豐鄉
4508,1,18,2,0,0,2,0,2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,花蓮縣豐濱鄉
4601,5,1460,172,13,5,70,0,55,0,51,0,921,66,1,1,15,26,5,21,0,7,1,19,7,4,0,0,0,0,24,73,448,253,臺東縣臺東市
4602,1,30,2,0,1,4,0,4,0,3,0,9,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6,14,臺東縣成功鎮
4603,1,80,6,9,0,6,0,5,0,5,0,39,5,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,29,20,5,臺東縣關山鎮
9003,1,301,43,0,0,11,2,15,1,15,0,171,9,0,0,3,13,3,8,0,3,0,2,2,0,0,0,0,0,5,7,118,26,金門縣金湖鎮
9101,1,54,11,0,4,4,0,3,0,3,0,24,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,連江縣南竿鄉
