鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,驗光師,驗光生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
101,5,2209,365,25,82,114,2,100,2,87,0,1176,134,0,2,15,33,7,17,0,15,0,19,8,6,0,0,0,0,14,128,633,69,臺北市松山區
102,6,2752,578,0,33,141,1,154,4,126,0,1425,124,0,2,29,49,5,21,0,12,1,31,7,7,0,0,2,0,21,227,714,239,臺北市大安區
109,1,4306,751,71,48,254,0,195,0,132,0,2448,124,2,7,56,63,3,55,0,35,11,26,13,8,2,0,2,0,75,204,1122,657,臺北市大同區
110,4,2915,781,12,37,139,1,124,0,68,0,1576,64,0,1,18,12,3,12,0,10,4,34,7,4,8,0,0,0,35,137,564,223,臺北市中山區
111,3,3706,750,14,94,179,0,166,2,140,0,2128,82,2,1,25,39,5,22,0,11,2,26,8,5,1,2,1,1,23,563,701,66,臺北市內湖區
115,1,1953,431,0,33,78,0,71,0,81,0,1113,37,2,0,16,31,2,14,1,6,2,20,4,3,3,0,5,0,16,177,344,281,臺北市士林區
116,6,8647,1806,18,106,384,0,360,1,345,0,5094,114,3,2,59,116,3,68,0,41,3,81,19,14,5,1,4,0,59,850,1391,495,臺北市北投區
117,1,1750,399,11,61,70,0,54,0,61,0,964,38,3,0,11,23,2,15,1,6,3,17,7,2,1,0,1,0,10,45,418,37,臺北市信義區
118,3,5499,1457,0,106,225,0,274,0,155,0,3073,12,0,0,32,49,3,28,0,28,0,35,13,7,2,0,0,0,29,240,847,583,臺北市中正區
119,4,621,111,3,8,38,0,27,2,29,0,301,35,0,0,7,35,0,12,0,0,1,5,3,0,1,0,2,1,11,49,182,48,臺北市萬華區
120,2,1809,416,5,58,88,0,65,0,58,0,964,44,1,0,13,29,6,18,0,7,0,24,7,3,1,0,2,0,12,179,367,180,臺北市文山區
301,10,1238,136,16,9,62,0,46,1,48,0,773,50,2,1,12,29,12,21,0,2,1,9,4,2,2,0,0,0,8,37,362,65,臺中市豐原區
302,1,121,15,0,0,8,0,7,0,6,0,70,7,0,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,5,34,8,臺中市東勢區
303,3,333,41,0,0,16,0,22,0,15,0,183,35,0,1,3,4,2,6,0,2,0,3,0,0,0,0,0,0,5,16,79,30,臺中市大甲區
304,2,91,9,0,0,7,0,0,0,0,0,49,8,0,0,2,0,0,5,5,6,0,0,0,0,0,0,0,0,6,6,28,5,臺中市清水區
305,1,1402,216,1,5,65,0,61,0,55,0,875,44,0,1,12,18,4,11,1,8,1,14,6,4,0,0,0,0,16,103,427,207,臺中市沙鹿區
306,3,2113,310,1,12,73,0,77,1,80,0,1347,91,0,0,18,24,9,21,1,9,2,24,10,2,1,0,0,0,15,151,453,153,臺中市梧棲區
309,1,1237,185,37,8,64,0,44,0,43,0,767,13,3,0,14,16,0,12,0,5,0,15,4,4,0,0,1,2,9,134,265,18,臺中市潭子區
310,1,200,28,3,0,11,0,13,0,10,1,109,9,0,0,2,7,1,3,0,0,0,2,1,0,0,0,0,0,1,16,27,20,臺中市大雅區
312,1,54,5,0,0,5,0,0,0,0,0,32,3,0,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,4,1,12,18,臺中市石岡區
315,2,481,60,1,1,22,0,21,0,16,0,283,22,0,0,6,21,1,10,0,2,0,8,4,2,0,0,1,0,3,19,158,18,臺中市烏日區
318,2,864,106,4,1,46,0,35,0,39,0,569,17,0,0,7,16,0,9,0,2,0,7,3,1,0,0,1,1,5,27,147,75,臺中市霧峰區
319,4,1081,167,2,10,67,0,60,1,53,0,570,58,0,1,14,23,8,23,1,8,0,5,5,1,0,0,4,0,15,78,360,122,臺中市太平區
320,4,1060,135,3,7,54,0,60,0,51,0,619,50,0,0,8,28,5,17,0,6,1,6,8,2,0,0,0,0,6,192,265,112,臺中市大里區
322,3,516,67,0,2,31,0,26,0,18,0,304,34,0,0,6,10,0,6,0,1,0,9,2,0,0,0,0,0,4,44,113,46,臺中市中區
323,3,310,39,3,7,19,0,16,0,9,0,171,7,0,0,2,18,1,10,0,0,0,2,6,0,0,0,0,0,1,10,90,10,臺中市東區
324,3,880,121,4,2,49,0,51,1,34,0,513,41,0,3,9,15,2,18,0,9,0,5,2,1,0,0,0,0,14,50,176,28,臺中市西區
325,4,2242,422,11,57,90,1,105,0,67,0,1273,29,3,0,21,54,1,40,2,17,0,21,14,6,2,2,4,0,16,74,557,50,臺中市南區
326,7,4656,901,59,47,220,0,176,0,137,1,2836,84,0,1,31,33,3,29,2,21,1,44,17,5,1,0,1,6,25,465,702,262,臺中市北區
327,2,4488,953,14,46,166,0,217,1,172,0,2701,49,1,3,28,37,0,24,0,11,3,37,11,5,4,0,3,2,33,235,558,165,臺中市西屯區
328,4,874,97,3,4,44,0,42,0,34,1,544,32,0,1,11,20,3,11,1,3,1,11,7,1,0,0,1,2,8,41,258,42,臺中市南屯區
329,6,417,54,2,1,22,2,26,1,19,0,190,42,0,0,6,27,3,12,2,0,0,4,4,0,0,0,0,0,4,31,128,35,臺中市北屯區
501,4,387,51,5,1,16,0,19,0,16,0,193,30,0,0,5,15,7,15,0,3,0,6,5,0,0,0,0,0,6,10,91,56,臺南市新營區
503,1,24,4,0,0,2,0,0,0,0,1,10,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,臺南市白河區
504,1,477,57,2,4,26,0,15,0,13,0,289,26,1,0,6,11,1,10,0,1,0,9,5,1,0,0,0,0,5,37,141,95,臺南市麻豆區
505,2,521,58,0,8,20,0,15,0,18,1,334,22,0,0,6,14,2,8,0,2,0,10,3,0,0,0,0,0,4,28,200,62,臺南市佳里區
506,2,126,14,1,0,9,0,7,0,6,0,70,6,0,0,2,3,0,5,0,2,0,0,1,0,0,0,0,0,2,4,28,5,臺南市新化區
507,1,27,3,0,0,2,0,4,0,2,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,臺南市善化區
509,1,1432,128,5,18,68,0,55,0,57,0,993,13,0,0,12,23,0,16,0,5,0,29,5,4,1,0,0,0,16,56,349,30,臺南市柳營區
527,2,329,32,1,0,21,0,16,0,7,0,214,4,0,0,3,4,0,16,0,9,0,2,0,0,0,0,0,0,16,68,101,72,臺南市仁德區
529,1,25,4,0,0,2,0,1,0,1,0,11,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,臺南市關廟區
531,5,3519,681,18,67,131,0,136,0,106,0,2105,61,1,0,25,37,9,34,3,14,1,57,15,13,2,0,2,1,31,275,756,513,臺南市永康區
532,3,1724,229,16,33,83,0,87,0,48,1,1069,53,0,1,15,19,7,20,1,7,0,22,5,5,2,1,0,0,15,217,416,148,臺南市東區
534,7,1405,179,18,2,68,2,77,0,43,2,791,76,0,0,16,46,11,38,2,7,0,17,7,2,0,0,1,0,16,95,286,224,臺南市中西區
535,5,3827,854,4,54,145,0,154,0,103,0,2313,38,0,0,19,36,4,30,3,18,0,33,7,6,2,0,2,2,21,173,983,252,臺南市北區
537,1,1104,118,16,7,40,0,33,0,32,0,772,26,0,0,7,19,0,15,0,5,0,8,2,3,1,0,0,0,9,40,233,105,臺南市安南區
701,7,520,58,4,7,35,0,24,0,16,1,248,46,0,2,8,21,9,15,2,1,0,9,12,0,0,0,0,2,5,24,139,37,高雄市鳳山區
702,6,574,81,2,17,34,0,24,0,22,0,279,54,0,1,7,22,6,14,2,4,0,3,1,1,0,0,0,0,7,62,171,33,高雄市岡山區
703,4,498,64,3,1,22,0,16,0,16,0,272,43,0,0,5,23,4,14,2,4,0,3,5,1,0,0,0,0,8,4,133,135,高雄市旗山區
704,1,19,5,0,0,2,0,0,0,1,0,1,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,高雄市美濃區
705,2,316,37,0,1,18,0,18,1,21,1,184,22,0,0,4,2,2,2,0,0,0,3,0,0,0,0,0,0,3,11,95,14,高雄市林園區
706,3,171,16,0,0,17,0,8,0,2,0,98,16,0,0,1,0,0,7,0,6,0,0,0,0,0,0,0,0,6,7,48,34,高雄市大寮區
710,1,4615,964,39,56,182,0,130,1,101,0,2908,60,0,0,25,20,0,22,2,13,0,79,8,5,0,0,0,0,25,692,738,29,高雄市鳥松區
711,1,29,5,0,0,2,0,0,0,1,0,15,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,高雄市橋頭區
712,3,2703,465,21,22,108,0,96,0,81,1,1735,36,1,0,28,18,4,20,1,15,0,41,5,5,0,0,0,0,27,265,747,21,高雄市燕巢區
714,1,20,2,0,0,2,0,1,0,1,0,6,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,6,1,高雄市阿蓮區
715,2,85,7,0,0,5,0,2,0,3,0,21,8,0,0,1,14,5,9,3,0,0,1,6,0,0,0,0,0,2,2,29,5,高雄市路竹區
729,3,637,79,3,2,29,0,30,0,21,1,394,38,1,1,6,10,4,8,0,1,0,5,3,1,0,0,0,0,6,28,129,37,高雄市鼓山區
730,6,3749,813,11,37,151,0,160,0,121,0,2260,71,1,5,25,25,3,20,1,12,0,22,4,4,3,0,0,0,31,383,554,151,高雄市左營區
731,5,552,68,3,1,31,1,21,0,22,1,302,47,0,0,5,21,5,11,0,2,0,5,6,0,0,0,0,0,5,21,144,36,高雄市楠梓區
732,11,3981,867,13,99,171,1,182,0,102,2,2285,73,0,0,26,45,3,35,0,16,0,48,8,3,1,0,1,0,23,325,745,246,高雄市三民區
733,6,281,35,0,0,16,0,7,1,10,1,116,25,0,0,3,31,3,17,0,2,0,2,12,0,0,0,0,0,1,12,79,16,高雄市新興區
734,7,1105,145,13,7,79,0,46,1,46,0,645,30,0,0,7,45,2,15,0,5,1,9,7,2,0,0,0,0,7,31,279,59,高雄市前金區
735,8,3398,482,11,28,164,0,150,1,95,1,2067,173,0,0,34,51,16,45,4,27,2,30,9,5,0,0,1,2,49,139,976,164,高雄市苓雅區
736,4,176,26,0,0,14,0,6,1,2,0,68,27,0,0,3,9,2,10,0,1,0,0,7,0,0,0,0,0,1,6,46,9,高雄市前鎮區
737,1,62,7,2,2,5,0,4,0,2,0,32,0,0,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,1,3,22,3,高雄市旗津區
738,3,828,112,0,10,48,0,35,0,28,0,530,17,0,0,6,14,1,10,0,2,0,9,3,1,0,0,2,0,6,22,212,38,高雄市小港區
1101,2,77,9,0,0,7,0,1,0,1,0,40,8,0,0,2,0,1,4,0,3,0,1,0,0,0,0,0,0,3,6,32,24,基隆市中正區
1103,1,115,12,0,1,6,0,5,2,6,0,59,10,0,0,1,4,3,2,0,0,0,3,1,0,0,0,0,0,1,22,35,27,基隆市暖暖區
1104,1,198,28,0,1,12,0,10,1,12,0,107,13,0,0,3,7,0,1,0,0,0,3,0,0,0,0,0,0,1,8,47,81,基隆市仁愛區
1106,3,1657,397,21,16,81,0,45,0,38,0,925,51,0,0,12,12,2,12,2,7,0,29,5,2,0,0,0,0,15,59,344,46,基隆市安樂區
1107,2,590,72,5,4,34,0,28,1,19,0,345,21,0,0,7,17,3,19,0,5,0,5,2,2,0,0,0,1,12,22,297,44,基隆市信義區
