鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,驗光師,驗光生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
4501,3,2751,508,32,29,110,0,116,0,85,0,1620,64,2,0,19,45,6,29,1,23,2,43,10,7,0,0,0,0,26,539,616,165,花蓮縣花蓮市
4502,1,98,11,0,0,8,0,4,0,4,0,59,4,0,0,1,3,0,2,0,1,0,1,0,0,0,0,0,0,3,1,36,16,花蓮縣鳳林鎮
4503,3,699,88,5,3,37,0,21,0,17,0,405,39,0,0,8,9,1,37,3,23,0,3,0,0,0,0,0,0,31,46,236,322,花蓮縣玉里鎮
4504,1,296,40,0,5,16,1,15,0,13,0,167,11,0,0,3,6,4,8,0,4,0,3,0,0,0,0,0,0,8,14,163,0,花蓮縣新城鄉
4506,1,101,7,0,1,4,0,1,0,1,0,61,6,0,0,3,5,0,8,0,4,0,0,0,0,0,0,0,0,4,24,16,40,花蓮縣壽豐鄉
4508,1,16,2,0,0,1,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,花蓮縣豐濱鄉
4601,5,1394,173,7,5,68,0,49,0,47,0,863,76,1,1,14,25,7,23,0,6,2,18,5,4,0,0,0,0,30,69,440,262,臺東縣臺東市
4602,1,31,3,0,1,4,0,4,0,3,0,10,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,14,臺東縣成功鎮
4603,1,69,5,6,0,4,1,5,0,4,0,35,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,1,臺東縣關山鎮
9003,1,294,42,0,1,8,2,13,1,15,0,165,10,0,2,3,14,2,9,0,3,0,2,2,0,0,0,0,0,4,4,118,23,金門縣金湖鎮
9101,1,49,9,0,3,4,0,3,0,3,0,22,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,連江縣南竿鄉
